AnimalID;Feature1;Feature2;Name;DateTime;OutcomeType;OutcomeSubtype;AnimalType;SexuponOutcome;AgeuponOutcome;Breed;Color
A371102;A37;37;Ceballo;03/08/2015 12:19;Return_to_owner;;Dog;Neutered Male;13 years;Bullmastiff Mix;Black/White
A371344;A37;37;Sailor;11/05/2015 15:43;Return_to_owner;;Dog;Neutered Male;10 years;German Shepherd/Border Collie;Black/Brown
A373219;A37;37;Ella;05/08/2014 16:16;Transfer;Partner;Cat;Spayed Female;5 years;Domestic Shorthair Mix;Brown Tabby
A373687;A37;37;Rosie;08/04/2014 14:05;Adoption;;Dog;Spayed Female;9 years;Labrador Retriever Mix;Red/Black
A375393;A37;37;Dash;13/06/2015 14:22;Return_to_owner;;Dog;Neutered Male;13 years;German Shorthair Pointer;White/Liver
A376322;A37;37;Mama Dog;18/02/2014 16:53;Return_to_owner;;Dog;Spayed Female;11 years;Pit Bull Mix;Brown
A378348;A37;37;Frijolito;23/04/2014 07:43;Adoption;Foster;Dog;Neutered Male;9 years;German Shepherd Mix;Black/Brown
A378353;A37;37;Lyla;02/08/2014 12:31;Euthanasia;Suffering;Dog;Intact Female;10 years;Chihuahua Shorthair Mix;Tricolor
A378818;A37;37;Zoe;07/07/2014 16:34;Return_to_owner;;Dog;Spayed Female;10 years;Weimaraner Mix;Tan
A381173;A38;38;Pepper;06/08/2014 17:12;Return_to_owner;;Dog;Spayed Female;14 years;Labrador Retriever Mix;Brown/White
A382192;A38;38;Maxwell 2;16/03/2015 13:46;Transfer;Partner;Dog;Intact Male;11 years;Pekingese Mix;Tan/White
A382251;A38;38;Princess;08/11/2014 19:01;Return_to_owner;;Dog;Spayed Female;10 years;Shetland Sheepdog Mix;Brown/White
A383036;A38;38;Oreo;28/06/2014 13:40;Euthanasia;Suffering;Cat;Neutered Male;14 years;Domestic Shorthair Mix;Black
A385442;A38;38;Clyde;11/01/2014 16:00;Return_to_owner;;Dog;Neutered Male;10 years;Labrador Retriever Mix;Cream/Tan
A386005;A38;38;Giovanni;26/09/2015 11:15;Return_to_owner;;Dog;Neutered Male;10 years;Australian Cattle Dog/Pit Bull;White/Black
A386276;A38;38;Tiko;28/12/2015 16:24;Adoption;;Cat;Neutered Male;10 years;Domestic Shorthair Mix;Flame Point
A387965;A38;38;Dakota;27/06/2014 11:13;Return_to_owner;;Dog;Spayed Female;10 years;Siberian Husky Mix;Black/White
A388691;A38;38;Blaze;29/11/2015 18:40;Return_to_owner;;Dog;Neutered Male;12 years;Miniature Schnauzer Mix;Black/Gray
A390222;A39;39;Holly;15/12/2013 17:10;Adoption;;Dog;Spayed Female;9 years;Jack Russell Terrier;White/Tan
A392615;A39;39;Chip;26/07/2015 15:18;Return_to_owner;;Dog;Neutered Male;10 years;Dachshund/Parson Russell Terrier;Brown/White
A394547;A39;39;Snickerdoodl;25/01/2015 11:15;Return_to_owner;;Dog;Spayed Female;9 years;Labrador Retriever Mix;Chocolate/White
A399421;A39;39;Lucy;25/08/2015 18:23;Return_to_owner;;Dog;Spayed Female;10 years;Pug;Tan/Black
A399552;A39;39;Jack;18/10/2013 13:46;Transfer;Partner;Dog;Neutered Male;14 years;Rat Terrier Mix;Tricolor
A408035;A40;40;Lizzie;27/12/2014 12:59;Return_to_owner;;Dog;Spayed Female;12 years;Pit Bull Mix;Brown Brindle
A410684;A41;41;Mitty;27/06/2014 17:50;Adoption;;Cat;Spayed Female;9 years;Domestic Shorthair Mix;Calico
A412173;A41;41;Jimminee;08/08/2015 12:22;Return_to_owner;;Dog;Neutered Male;9 years;Manchester Terrier Mix;Tricolor
A412697;A41;41;Jackie;07/01/2016 12:47;Return_to_owner;;Dog;Neutered Male;10 years;Parson Russell Terrier Mix;White/Brown
A414198;A41;41;Shelly;30/01/2015 13:43;Return_to_owner;;Dog;Spayed Female;9 years;Border Collie Mix;Black
A415049;A41;41;Sophie;29/05/2015 13:07;Return_to_owner;;Dog;Spayed Female;9 years;Catahoula Mix;Brown Merle/White
A415589;A41;41;Shadow;28/05/2015 19:09;Return_to_owner;;Dog;Spayed Female;10 years;Siberian Husky/Labrador Retriever;White/Tan
A415823;A41;41;Two;26/10/2015 18:43;Return_to_owner;;Dog;Neutered Male;12 years;Pit Bull Mix;Tan
A417622;A41;41;Atreyu;16/07/2015 16:02;Return_to_owner;;Dog;Neutered Male;10 years;Miniature Pinscher;Black/Tan
A419781;A41;41;Zelda;25/10/2013 16:13;Return_to_owner;;Dog;Spayed Female;7 years;Labrador Retriever Mix;Red
A420464;A42;42;Loki;14/10/2013 17:14;Return_to_owner;;Dog;Neutered Male;7 years;Labrador Retriever Mix;Black/White
A421087;A42;42;Pumpkin;05/04/2015 14:04;Return_to_owner;;Dog;Spayed Female;11 years;Shetland Sheepdog/Keeshond;White/Brown
A423701;A42;42;Bella;08/01/2014 13:21;Return_to_owner;;Dog;Spayed Female;8 years;Australian Cattle Dog/Labrador Retriever;White/Brown
A427100;A42;42;Penny Lane;02/02/2016 16:31;Return_to_owner;;Dog;Spayed Female;10 years;Cardigan Welsh Corgi Mix;Tricolor
A427442;A42;42;Precious;03/09/2015 18:30;Return_to_owner;;Cat;Spayed Female;10 years;Domestic Shorthair;Tortie/Blue Cream
A427782;A42;42;Midas;10/04/2014 16:29;Return_to_owner;;Dog;Neutered Male;9 years;Pit Bull;Tan/White
A427808;A42;42;Trixie;16/07/2014 12:30;Return_to_owner;;Dog;Spayed Female;13 years;Golden Retriever/Border Collie;Yellow
A427866;A42;42;Gus;15/05/2014 12:03;Euthanasia;Suffering;Dog;Neutered Male;8 years;German Shepherd Mix;Black/Tan
A428783;A42;42;Bella;13/02/2014 16:33;Adoption;;Dog;Spayed Female;8 years;Australian Cattle Dog;Blue Tick/Brown
A430366;A43;43;Lucky;23/06/2015 11:52;Return_to_owner;;Dog;Neutered Male;9 years;Labrador Retriever Mix;Black
A430368;A43;43;Arenal;21/02/2014 18:09;Adoption;;Dog;Neutered Male;7 years;Labrador Retriever Mix;Black/White
A430437;A43;43;Sammy;27/05/2014 13:30;Transfer;Partner;Dog;Neutered Male;10 years;Cairn Terrier;Brown Brindle
A430500;A43;43;Daisy;18/02/2014 16:27;Return_to_owner;;Dog;Spayed Female;8 years;American Bulldog Mix;White/Tan
A430501;A43;43;Rosie;14/11/2013 17:38;Euthanasia;Suffering;Dog;Spayed Female;11 years;Pembroke Welsh Corgi Mix;Gold/White
A430671;A43;43;;27/05/2014 17:17;Euthanasia;Suffering;Dog;Spayed Female;8 years;Labrador Retriever/Pit Bull;Black/White
A430953;A43;43;Jake;05/04/2014 18:29;Return_to_owner;;Dog;Neutered Male;10 years;Cocker Spaniel;Red
A431223;A43;43;Dante;09/11/2014 12:04;Return_to_owner;;Dog;Neutered Male;10 years;Vizsla Mix;Tan
A431615;A43;43;Catera;01/08/2014 07:51;Adoption;Foster;Dog;Spayed Female;8 years;Pit Bull/Chinese Sharpei;Chocolate
A432065;A43;43;Sheba;23/03/2014 18:11;Transfer;Partner;Dog;Spayed Female;8 years;German Shepherd Mix;Black/Brown
A432197;A43;43;Ginger;01/01/2014 19:23;Adoption;;Cat;Spayed Female;8 years;Domestic Shorthair Mix;Orange Tabby/White
A433746;A43;43;Evette;04/11/2015 00:00;Transfer;Partner;Dog;Spayed Female;9 years;Australian Shepherd Mix;White/Brown
A434523;A43;43;;25/11/2015 12:59;Return_to_owner;;Cat;Spayed Female;11 years;Siamese Mix;Lilac Point
A435209;A43;43;Bessy;01/03/2014 11:46;Return_to_owner;;Dog;Spayed Female;9 years;Chow Chow Mix;Tan/White
A435237;A43;43;Rusty;16/02/2016 16:23;Return_to_owner;;Dog;Neutered Male;9 years;Labrador Retriever Mix;Black/White
A435358;A43;43;Dingo;02/04/2015 18:34;Return_to_owner;;Dog;Spayed Female;9 years;Australian Cattle Dog Mix;Tricolor
A440082;A44;44;Louie Pepper;26/04/2014 18:22;Return_to_owner;;Dog;Neutered Male;12 years;Boxer Mix;Brown/White
A441798;A44;44;Cooper;04/11/2014 08:42;Adoption;Foster;Dog;Neutered Male;8 years;German Shepherd Mix;Black/Tan
A443497;A44;44;Cookie;03/02/2014 12:02;Transfer;Partner;Dog;Spayed Female;9 years;Pit Bull Mix;White/Brown
A444115;A44;44;Bach;06/04/2015 16:15;Transfer;Partner;Cat;Spayed Female;9 years;Domestic Longhair Mix;Black
A445694;A44;44;Vegas;25/10/2013 16:31;Adoption;;Dog;Spayed Female;9 years;Boxer/Beagle;White/Brown
A447254;A44;44;Montana;30/03/2015 18:02;Return_to_owner;;Dog;Spayed Female;9 years;Labrador Retriever Mix;Black/White
A447753;A44;44;Peanut;20/03/2015 16:01;Transfer;Partner;Dog;Spayed Female;9 years;Pit Bull;Brown/White
A447896;A44;44;Venus;06/01/2016 14:16;Return_to_owner;;Dog;Spayed Female;11 years;Chow Chow Mix;Brown/Black
A448018;A44;44;Chap;27/11/2013 15:26;Return_to_owner;;Dog;Neutered Male;7 years;Cocker Spaniel Mix;Black
A448020;A44;44;Friday;13/09/2014 13:38;Return_to_owner;;Dog;Spayed Female;14 years;Doberman Pinsch/German Shepherd;Black/Tan
A448267;A44;44;Gus;25/06/2015 12:44;Adoption;Foster;Dog;Neutered Male;12 years;Pit Bull Mix;Brown/White
A448750;A44;44;Odie;29/04/2014 15:08;Euthanasia;Aggressive;Dog;Neutered Male;9 years;Pit Bull;Gold/White
A448819;A44;44;Mickey;29/03/2014 10:29;Return_to_owner;;Dog;Spayed Female;9 years;Chihuahua Shorthair;Black/Brown
A449107;A44;44;Sadie;14/01/2014 18:22;Return_to_owner;;Dog;Spayed Female;7 years;Labrador Retriever Mix;Buff/Tan
A449752;A44;44;Piglet;10/03/2014 13:59;Return_to_owner;;Dog;Spayed Female;11 years;Chihuahua Shorthair;Red
A449968;A44;44;Bella;19/12/2015 12:41;Adoption;;Cat;Spayed Female;10 years;Domestic Shorthair Mix;Brown Tabby
A450003;A45;45;Choco;30/07/2015 17:32;Return_to_owner;;Dog;Neutered Male;10 years;Pit Bull;Chocolate/White
A452948;A45;45;Tucker;22/07/2014 17:18;Return_to_owner;;Dog;Neutered Male;7 years;Labrador Retriever/Rhod Ridgeback;Red/White
A453083;A45;45;Liz;12/01/2016 16:40;Return_to_owner;;Dog;Spayed Female;10 years;Border Collie Mix;Chocolate/White
A453136;A45;45;Kinta;13/04/2014 16:01;Adoption;;Cat;Neutered Male;8 years;Domestic Longhair Mix;Black Tabby
A453933;A45;45;West;30/05/2014 11:56;Return_to_owner;;Dog;Neutered Male;11 years;Labrador Retriever Mix;Cream
A455146;A45;45;Ruby;07/02/2015 11:10;Transfer;Partner;Dog;Spayed Female;10 years;Rottweiler/Labrador Retriever;Black/Brown
A457858;A45;45;Weda;05/07/2015 15:41;Return_to_owner;;Dog;Spayed Female;9 years;Beagle Mix;Buff/Yellow
A459161;A45;45;Dugan;19/04/2015 00:00;Return_to_owner;;Dog;Neutered Male;9 years;Shih Tzu Mix;Black/White
A459318;A45;45;Pancho;05/02/2014 18:18;Return_to_owner;;Dog;Neutered Male;3 years;Miniature Schnauzer Mix;Silver/White
A459766;A45;45;Joey;21/09/2014 18:42;Return_to_owner;;Dog;Spayed Female;8 years;Beagle/German Shepherd;Brown/Black
A459845;A45;45;Precious;05/05/2014 13:25;Return_to_owner;;Cat;Spayed Female;7 years;Snowshoe/Ragdoll;Seal Point/White
A459859;A45;45;Frankie;17/04/2014 17:23;Transfer;Partner;Dog;Neutered Male;8 years;Pit Bull;White/Brown Brindle
A459869;A45;45;Lily;29/05/2015 11:25;Transfer;Partner;Cat;Spayed Female;10 years;Domestic Shorthair Mix;Black
A461171;A46;46;Jojo;25/06/2015 17:18;Transfer;Partner;Dog;Neutered Male;10 years;Pit Bull Mix;Chocolate/White
A461224;A46;46;Togo;15/11/2014 12:28;Return_to_owner;;Dog;Neutered Male;8 years;Siberian Husky;Tan/Gray
A462504;A46;46;Lady Bug;08/09/2014 15:12;Adoption;;Dog;Spayed Female;9 years;Pit Bull Mix;Red/White
A462580;A46;46;Chico;02/10/2015 18:25;Return_to_owner;;Dog;Neutered Male;11 years;Pit Bull;Brown Brindle/White
A462879;A46;46;Sierra;24/05/2014 17:09;Return_to_owner;;Dog;Spayed Female;7 years;Pit Bull Mix;Gold/White
A463218;A46;46;Dixie;18/03/2014 18:48;Transfer;Partner;Dog;Spayed Female;8 years;Basset Hound;Tricolor
A464189;A46;46;Sushi;05/10/2015 16:26;Transfer;Partner;Dog;Spayed Female;9 years;Chihuahua Longhair/Pekingese;White/Red
A464652;A46;46;Buddy;29/10/2014 08:11;Euthanasia;Rabies Risk;Dog;Intact Male;11 years;Border Collie Mix;Black/White
A465426;A46;46;Sydney;31/03/2015 18:01;Return_to_owner;;Dog;Spayed Female;10 years;Boston Terrier Mix;Brown Brindle/White
A465501;A46;46;Molly;31/10/2013 12:46;Adoption;;Dog;Spayed Female;6 years;Labrador Retriever;Black
A465573;A46;46;Boly;03/02/2014 18:03;Return_to_owner;;Dog;Neutered Male;10 years;Labrador Retriever/Chow Chow;Black/Brown
A465849;A46;46;Paris;03/01/2016 13:20;Return_to_owner;;Dog;Intact Female;13 years;Chihuahua Shorthair Mix;White/Brown
A466411;A46;46;Bella;21/12/2015 16:23;Return_to_owner;;Dog;Spayed Female;11 years;Parson Russell Terrier;White/Tricolor
A466709;A46;46;Lucky;31/03/2015 11:31;Transfer;Partner;Cat;Neutered Male;8 years;American Shorthair Mix;Blue/White
A467387;A46;46;Princess;19/03/2014 15:17;Euthanasia;Behavior;Dog;Spayed Female;9 years;Boxer Mix;Red/White
A467392;A46;46;Zoey;12/05/2014 18:43;Return_to_owner;;Dog;Spayed Female;15 years;Chihuahua Shorthair;Chocolate/Tan
A468026;A46;46;Junie;22/12/2013 17:53;Return_to_owner;;Dog;Spayed Female;7 years;Pit Bull Mix;Black Brindle/White
A470287;A47;47;Kujo;21/05/2014 17:56;Return_to_owner;;Dog;Neutered Male;8 years;Australian Cattle Dog/Chow Chow;Black
A470702;A47;47;Betty;27/12/2015 13:52;Return_to_owner;;Dog;Spayed Female;17 years;Pit Bull Mix;Brown Brindle
A471015;A47;47;Frankie;14/12/2013 13:32;Adoption;;Dog;Neutered Male;7 years;Chihuahua Shorthair;Black/Tan
A473179;A47;47;Rodeo;04/12/2013 15:48;Euthanasia;Aggressive;Dog;Neutered Male;7 years;Labrador Retriever Mix;Tan/White
A474311;A47;47;Shadow;05/05/2015 11:27;Adoption;;Cat;Neutered Male;8 years;Domestic Shorthair Mix;Brown Tabby
A474539;A47;47;Dudley;21/12/2014 13:23;Return_to_owner;;Dog;Neutered Male;11 years;Labrador Retriever;Buff/Tan
A475812;A47;47;Francis;12/05/2015 14:42;Return_to_owner;;Dog;Spayed Female;9 years;Chihuahua Shorthair;Yellow
A475943;A47;47;Rosie;13/03/2014 16:30;Return_to_owner;;Dog;Spayed Female;13 years;Miniature Poodle;White
A475944;A47;47;Negra;08/06/2014 17:39;Return_to_owner;;Dog;Spayed Female;7 years;Labrador Retriever Mix;Black/White
A476054;A47;47;Tula;12/09/2015 12:27;Adoption;;Dog;Spayed Female;7 years;Labrador Retriever Mix;Black/White
A476706;A47;47;Rocky;12/01/2015 11:32;Euthanasia;Aggressive;Dog;Neutered Male;8 years;Doberman Pinsch Mix;Chocolate/Tan
A477746;A47;47;Sadie;24/04/2015 07:36;Adoption;Foster;Cat;Spayed Female;8 years;Domestic Shorthair Mix;Brown Tabby
A478206;A47;47;Kobe;24/08/2015 17:23;Return_to_owner;;Dog;Neutered Male;8 years;Miniature Schnauzer Mix;Black
